rank	channel	sendCount	recvCount	sendBytes	recvBytes	sendPostCount	recvPostCount	sendWaitSpins	recvWaitSpins	sendMaxWaitSpins	recvMaxWaitSpins	lastSendTimestamp	lastRecvTimestamp	lastAnyTimestamp
9	0	22	340	40968	40968	22	340	72810	65673	0	0	7653803040775	7653803043859	7653803043959
9	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
9	3	0	0	0	0	0	0	0	0	0	0	0	0	0
9	4	0	0	0	0	0	0	0	0	0	0	0	0	0
9	5	0	0	0	0	0	0	0	0	0	0	0	0	0
9	6	0	0	0	0	0	0	0	0	0	0	0	0	0
9	7	0	0	0	0	0	0	0	0	0	0	0	0	0
9	8	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	0	0	0	0	0	0	0	0	0	0	0	0	0
9	10	0	0	0	0	0	0	0	0	0	0	0	0	0
9	11	0	0	0	0	0	0	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0	0	0	0	0	0	0
9	13	0	0	0	0	0	0	0	0	0	0	0	0	0
9	14	0	0	0	0	0	0	0	0	0	0	0	0	0
9	15	0	0	0	0	0	0	0	0	0	0	0	0	0
9	16	0	0	0	0	0	0	0	0	0	0	0	0	0
9	17	0	0	0	0	0	0	0	0	0	0	0	0	0
9	18	0	0	0	0	0	0	0	0	0	0	0	0	0
9	19	0	0	0	0	0	0	0	0	0	0	0	0	0
9	20	0	0	0	0	0	0	0	0	0	0	0	0	0
9	21	0	0	0	0	0	0	0	0	0	0	0	0	0
9	22	0	0	0	0	0	0	0	0	0	0	0	0	0
9	23	0	0	0	0	0	0	0	0	0	0	0	0	0
9	24	0	0	0	0	0	0	0	0	0	0	0	0	0
9	25	0	0	0	0	0	0	0	0	0	0	0	0	0
9	26	0	0	0	0	0	0	0	0	0	0	0	0	0
9	27	0	0	0	0	0	0	0	0	0	0	0	0	0
9	28	0	0	0	0	0	0	0	0	0	0	0	0	0
9	29	0	0	0	0	0	0	0	0	0	0	0	0	0
9	30	0	0	0	0	0	0	0	0	0	0	0	0	0
9	31	0	0	0	0	0	0	0	0	0	0	0	0	0
