rank	channel	sendCount	recvCount	sendBytes	recvBytes	sendPostCount	recvPostCount	sendWaitSpins	recvWaitSpins	sendMaxWaitSpins	recvMaxWaitSpins	lastSendTimestamp	lastRecvTimestamp	lastAnyTimestamp
10	0	80	340	40964	40968	80	340	63740	202893	0	0	7653800034091	7653800036619	7653800036723
10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
10	4	0	0	0	0	0	0	0	0	0	0	0	0	0
10	5	0	0	0	0	0	0	0	0	0	0	0	0	0
10	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10	7	0	0	0	0	0	0	0	0	0	0	0	0	0
10	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10	9	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	0	0	0	0	0	0	0	0	0	0	0	0	0
10	11	0	0	0	0	0	0	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0	0	0	0	0	0	0
10	13	0	0	0	0	0	0	0	0	0	0	0	0	0
10	14	0	0	0	0	0	0	0	0	0	0	0	0	0
10	15	0	0	0	0	0	0	0	0	0	0	0	0	0
10	16	0	0	0	0	0	0	0	0	0	0	0	0	0
10	17	0	0	0	0	0	0	0	0	0	0	0	0	0
10	18	0	0	0	0	0	0	0	0	0	0	0	0	0
10	19	0	0	0	0	0	0	0	0	0	0	0	0	0
10	20	0	0	0	0	0	0	0	0	0	0	0	0	0
10	21	0	0	0	0	0	0	0	0	0	0	0	0	0
10	22	0	0	0	0	0	0	0	0	0	0	0	0	0
10	23	0	0	0	0	0	0	0	0	0	0	0	0	0
10	24	0	0	0	0	0	0	0	0	0	0	0	0	0
10	25	0	0	0	0	0	0	0	0	0	0	0	0	0
10	26	0	0	0	0	0	0	0	0	0	0	0	0	0
10	27	0	0	0	0	0	0	0	0	0	0	0	0	0
10	28	0	0	0	0	0	0	0	0	0	0	0	0	0
10	29	0	0	0	0	0	0	0	0	0	0	0	0	0
10	30	0	0	0	0	0	0	0	0	0	0	0	0	0
10	31	0	0	0	0	0	0	0	0	0	0	0	0	0
